antecedent,consequent,support,confidence
Objectives_Met_3(1),"Speaker_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])",0.7130434782608696,1.0
Objectives_Met_3(1),"Speaker_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Facilitator_Rating_2([0, 1])",0.7130434782608696,1.0
"Participant_Rating_2([0, 1]) AND Objectives_Met_3(1)","Venue_Rating_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.7130434782608696,1.0
"Venue_Rating_2([0, 1]) AND Overall_Rating_3(1)","Objectives_Met_3([0, 1]) AND Objectives_Met_1(0) AND Schedule_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])",0.8,0.9108910891089109
"Speaker_Rating_3([0, 1])","Objectives_Met_3([0, 1]) AND Overall_Rating_1(0) AND Objectives_Met_1([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1])",0.8521739130434782,0.8521739130434782
"Objectives_Met_3([0, 1]) AND Speaker_Rating_2([0, 1])","Speaker_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Participant_Rating_2(0) AND Schedule_Rating_3([0, 1]) AND Allowance_Rating_2(0) AND Overall_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1])",0.8521739130434782,0.8521739130434782
Objectives_Met_1(0),"Participant_Rating_1(0) AND Facilitator_Rating_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Speaker_Rating_2([0, 1]) AND Venue_Rating_2([0, 1]) AND Speaker_Rating_3(1)",0.8173913043478261,0.8867924528301887
"Allowance_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_2(0) AND Schedule_Rating_3([0, 1])","Venue_Rating_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_2(0) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Facilitator_Rating_2([0, 1])",0.8,0.8932038834951457
"Venue_Rating_3(1) AND Objectives_Met_1([0, 1])","Schedule_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_2(0)",0.782608695652174,0.9090909090909091
"Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Speaker_Rating_3([0, 1]) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_1([0, 1])","Participant_Rating_2([0, 1]) AND Overall_Rating_2(0) AND Objectives_Met_2([0, 1])",0.782608695652174,0.9090909090909091
"Participant_Rating_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Venue_Rating_2(0) AND Schedule_Rating_2([0, 1])","Schedule_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Overall_Rating_2([0, 1])",0.782608695652174,0.8910891089108911
"Venue_Rating_3([0, 1]) AND Overall_Rating_3(1)","Overall_Rating_1([0, 1]) AND Venue_Rating_1(0) AND Participant_Rating_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Speaker_Rating_3(1)",0.782608695652174,0.8910891089108911
"Venue_Rating_3(1) AND Objectives_Met_1([0, 1])","Objectives_Met_3([0, 1]) AND Overall_Rating_3(1) AND Objectives_Met_2([0, 1])",0.7739130434782608,0.898989898989899
"Speaker_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_2(0) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_1(0)","Objectives_Met_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_2([0, 1])",0.782608695652174,0.8823529411764706
"Overall_Rating_2([0, 1]) AND Schedule_Rating_3(1) AND Objectives_Met_2([0, 1]) AND Participant_Rating_2([0, 1])","Participant_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Schedule_Rating_2(0) AND Objectives_Met_1([0, 1])",0.6608695652173913,1.0
"Participant_Rating_2([0, 1]) AND Objectives_Met_1([0, 1]) AND Objectives_Met_2([0, 1]) AND Schedule_Rating_3(1) AND Schedule_Rating_2([0, 1])","Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Facilitator_Rating_3([0, 1])",0.6608695652173913,1.0
"Overall_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Schedule_Rating_3(1)","Venue_Rating_3([0, 1]) AND Participant_Rating_2([0, 1])",0.6608695652173913,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_3(1) AND Facilitator_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])","Venue_Rating_1([0, 1]) AND Participant_Rating_2([0, 1])",0.6608695652173913,1.0
"Overall_Rating_3([0, 1]) AND Venue_Rating_3(1) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_1(0) AND Objectives_Met_1([0, 1]) AND Schedule_Rating_3([0, 1]) AND Facilitator_Rating_2(0) AND Overall_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])","Speaker_Rating_2([0, 1])",0.6608695652173913,1.0
"Overall_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Speaker_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Schedule_Rating_3(1) AND Participant_Rating_2([0, 1])","Participant_Rating_1([0, 1])",0.6608695652173913,1.0
"Schedule_Rating_3(1) AND Speaker_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])","Schedule_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Objectives_Met_3([0, 1])",0.6608695652173913,1.0
"Overall_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Participant_Rating_2([0, 1])",Venue_Rating_3(1),0.7739130434782608,0.8811881188118812
"Venue_Rating_3(1) AND Allowance_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_1([0, 1])","Overall_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Participant_Rating_2([0, 1])",0.7652173913043478,0.8888888888888888
"Objectives_Met_1([0, 1]) AND Venue_Rating_3(1) AND Allowance_Rating_3([0, 1])","Venue_Rating_1(0) AND Overall_Rating_2([0, 1]) AND Speaker_Rating_3(1)",0.7652173913043478,0.8888888888888888
"Allowance_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Objectives_Met_2([0, 1])","Facilitator_Rating_2([0, 1]) AND Speaker_Rating_3(1)",0.7652173913043478,0.8888888888888888
"Participant_Rating_1([0, 1]) AND Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1])","Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",0.7652173913043478,0.8888888888888888
"Objectives_Met_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_3(1) AND Schedule_Rating_3([0, 1]) AND Facilitator_Rating_3([0, 1])","Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1)",0.7652173913043478,0.8888888888888888
"Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3(1)","Objectives_Met_3([0, 1]) AND Speaker_Rating_2(0) AND Participant_Rating_2([0, 1])",0.7652173913043478,0.8888888888888888
"Objectives_Met_1([0, 1]) AND Venue_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Schedule_Rating_3([0, 1])","Speaker_Rating_3(1) AND Participant_Rating_2([0, 1])",0.7652173913043478,0.8888888888888888
"Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1])","Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.7652173913043478,0.8888888888888888
"Speaker_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_1([0, 1])","Venue_Rating_1([0, 1]) AND Schedule_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_2(0)",0.8260869565217391,0.8260869565217391
"Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Schedule_Rating_3(1) AND Venue_Rating_1(0) AND Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])","Objectives_Met_2([0, 1])",0.6521739130434783,1.0
"Schedule_Rating_2([0, 1])","Speaker_Rating_2([0, 1]) AND Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_2(0) AND Participant_Rating_1([0, 1])",0.8260869565217391,0.8260869565217391
"Venue_Rating_3([0, 1])","Objectives_Met_1(0) AND Overall_Rating_3([0, 1]) AND Allowance_Rating_2(0) AND Participant_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1])",0.8260869565217391,0.8260869565217391
"Participant_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1)","Overall_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_2(0)",0.782608695652174,0.8653846153846154
"Overall_Rating_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Speaker_Rating_3(1) AND Participant_Rating_2([0, 1]) AND Overall_Rating_3(1) AND Venue_Rating_3([0, 1])","Participant_Rating_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Objectives_Met_1(0) AND Allowance_Rating_3([0, 1])",0.7217391304347827,0.9222222222222223
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3(1) AND Facilitator_Rating_3(1) AND Participant_Rating_2(0) AND Allowance_Rating_3([0, 1])","Participant_Rating_1([0, 1]) AND Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_2([0, 1])",0.6434782608695652,1.0
"Speaker_Rating_3(1) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2(0)","Participant_Rating_1([0, 1]) AND Participant_Rating_3(1) AND Facilitator_Rating_3([0, 1])",0.7391304347826086,0.9042553191489362
"Overall_Rating_1([0, 1])","Objectives_Met_1(0) AND Speaker_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Schedule_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Overall_Rating_2(0) AND Speaker_Rating_2([0, 1])",0.8173913043478261,0.8173913043478261
"Participant_Rating_2([0, 1]) AND Objectives_Met_1([0, 1]) AND Facilitator_Rating_3([0, 1])","Overall_Rating_2(0) AND Participant_Rating_3(1) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1])",0.8173913043478261,0.8173913043478261
"Objectives_Met_3(1) AND Overall_Rating_2([0, 1]) AND Facilitator_Rating_3([0, 1]) AND Allowance_Rating_2(0) AND Participant_Rating_2([0, 1])","Allowance_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Objectives_Met_1([0, 1])",0.6347826086956522,1.0
"Venue_Rating_3(1) AND Venue_Rating_2([0, 1]) AND Objectives_Met_3(1)","Speaker_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Overall_Rating_2([0, 1])",0.6347826086956522,1.0
"Venue_Rating_1([0, 1]) AND Allowance_Rating_3(1) AND Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])","Participant_Rating_2([0, 1]) AND Venue_Rating_3(1)",0.7739130434782608,0.8557692307692307
Participant_Rating_1(0),"Participant_Rating_2(0) AND Venue_Rating_3(1) AND Participant_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1])",0.8,0.8214285714285714
"Objectives_Met_1([0, 1]) AND Overall_Rating_2(0) AND Schedule_Rating_3(1) AND Venue_Rating_1([0, 1]) AND Speaker_Rating_2([0, 1])","Participant_Rating_2([0, 1])",0.6173913043478261,1.0
"Objectives_Met_3(1) AND Speaker_Rating_3(1) AND Participant_Rating_1([0, 1])","Objectives_Met_1(0) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_1(0) AND Overall_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1])",0.6434782608695652,0.9736842105263158
"Objectives_Met_1(0) AND Venue_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Allowance_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Facilitator_Rating_2([0, 1])","Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1) AND Schedule_Rating_3([0, 1]) AND Participant_Rating_2([0, 1])",0.7130434782608696,0.9010989010989011
"Venue_Rating_3(1) AND Objectives_Met_1(0) AND Participant_Rating_2([0, 1]) AND Venue_Rating_1([0, 1])","Speaker_Rating_3(1) AND Participant_Rating_1([0, 1]) AND Objectives_Met_2([0, 1])",0.7130434782608696,0.9010989010989011
"Overall_Rating_2([0, 1]) AND Facilitator_Rating_3([0, 1]) AND Speaker_Rating_3(1)","Venue_Rating_3(1) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.7652173913043478,0.8461538461538461
"Objectives_Met_3([0, 1]) AND Participant_Rating_1(0) AND Allowance_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Venue_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])","Speaker_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Schedule_Rating_3([0, 1]) AND Allowance_Rating_3(1)",0.7913043478260869,0.8125
"Allowance_Rating_3([0, 1])","Venue_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Speaker_Rating_3(1) AND Facilitator_Rating_2([0, 1]) AND Overall_Rating_2(0)",0.8,0.8
"Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Facilitator_Rating_2(0) AND Allowance_Rating_2(0)","Venue_Rating_1(0) AND Overall_Rating_2([0, 1])",0.6,1.0
"Participant_Rating_1([0, 1])","Speaker_Rating_3(1) AND Venue_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Overall_Rating_2(0) AND Allowance_Rating_2([0, 1])",0.8,0.8
"Venue_Rating_3([0, 1]) AND Allowance_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Overall_Rating_3([0, 1])","Schedule_Rating_2([0, 1]) AND Overall_Rating_2(0) AND Speaker_Rating_3(1) AND Facilitator_Rating_3([0, 1])",0.8,0.8
"Allowance_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Facilitator_Rating_2([0, 1])","Speaker_Rating_3(1) AND Overall_Rating_2(0) AND Participant_Rating_2([0, 1]) AND Objectives_Met_1([0, 1])",0.8,0.8
"Speaker_Rating_3([0, 1]) AND Venue_Rating_1([0, 1])","Participant_Rating_2([0, 1]) AND Venue_Rating_3(1) AND Objectives_Met_2([0, 1]) AND Participant_Rating_3(1) AND Participant_Rating_1([0, 1])",0.8,0.8
"Schedule_Rating_3(1) AND Venue_Rating_1(0) AND Schedule_Rating_2([0, 1]) AND Objectives_Met_1([0, 1]) AND Venue_Rating_3(1) AND Objectives_Met_2([0, 1])","Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.591304347826087,1.0
"Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_1([0, 1]) AND Schedule_Rating_3(1) AND Venue_Rating_1([0, 1])","Schedule_Rating_2([0, 1]) AND Facilitator_Rating_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Participant_Rating_2([0, 1])",0.591304347826087,1.0
"Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Facilitator_Rating_3([0, 1]) AND Schedule_Rating_3(1)","Participant_Rating_2([0, 1])",0.591304347826087,1.0
"Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_3(1) AND Venue_Rating_1([0, 1]) AND Schedule_Rating_3(1) AND Facilitator_Rating_2([0, 1]) AND Facilitator_Rating_3([0, 1])","Objectives_Met_2([0, 1]) AND Participant_Rating_2([0, 1])",0.591304347826087,1.0
"Venue_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Schedule_Rating_3(1) AND Overall_Rating_2([0, 1]) AND Facilitator_Rating_3([0, 1])","Objectives_Met_1([0, 1])",0.591304347826087,1.0
"Venue_Rating_1(0) AND Schedule_Rating_3(1) AND Objectives_Met_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])","Participant_Rating_1(0) AND Objectives_Met_1([0, 1])",0.6260869565217392,0.96
"Overall_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Objectives_Met_1([0, 1]) AND Speaker_Rating_3([0, 1]) AND Schedule_Rating_3([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_2(0) AND Speaker_Rating_2([0, 1])","Objectives_Met_2([0, 1]) AND Venue_Rating_3(1) AND Venue_Rating_1([0, 1]) AND Participant_Rating_2(0)",0.7478260869565218,0.8349514563106796
"Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1])","Objectives_Met_2(0) AND Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1])",0.7913043478260869,0.7913043478260869
"Objectives_Met_1(0) AND Allowance_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])",Overall_Rating_3(1),0.7217391304347827,0.8556701030927835
"Overall_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_2(0) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Schedule_Rating_3(1)","Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Venue_Rating_1(0)",0.5826086956521739,0.9852941176470589
"Allowance_Rating_3(1) AND Participant_Rating_1([0, 1]) AND Objectives_Met_2(0)","Facilitator_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_1([0, 1])",0.6521739130434783,0.9146341463414634
"Venue_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Overall_Rating_2(0)","Participant_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Speaker_Rating_3(1)",0.6869565217391305,0.8777777777777778
"Speaker_Rating_3(1) AND Objectives_Met_1([0, 1]) AND Objectives_Met_2([0, 1])","Venue_Rating_1(0) AND Venue_Rating_3(1) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1(0)",0.7391304347826086,0.8173076923076923
Venue_Rating_3(1) AND Overall_Rating_3(1),"Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1)",0.6782608695652174,0.8764044943820225
"Schedule_Rating_3([0, 1])","Overall_Rating_1([0, 1]) AND Speaker_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Allowance_Rating_3(1) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_1([0, 1]) AND Venue_Rating_1([0, 1])",0.7739130434782608,0.7739130434782608
"Participant_Rating_2([0, 1]) AND Objectives_Met_3(1) AND Facilitator_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Overall_Rating_1([0, 1])","Overall_Rating_2(0) AND Participant_Rating_1([0, 1])",0.6434782608695652,0.9024390243902439
Objectives_Met_3(1),"Venue_Rating_3([0, 1]) AND Objectives_Met_1(0) AND Speaker_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_2(0)",0.6434782608695652,0.9024390243902439
"Speaker_Rating_2(0) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Overall_Rating_2(0) AND Venue_Rating_1([0, 1])","Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_3(1)",0.6869565217391305,0.8586956521739131
"Participant_Rating_1([0, 1]) AND Venue_Rating_3(1) AND Schedule_Rating_3(1)","Facilitator_Rating_2([0, 1]) AND Overall_Rating_3(1) AND Allowance_Rating_2([0, 1])",0.5739130434782609,0.9705882352941176
"Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_3(1) AND Venue_Rating_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Schedule_Rating_3(1)","Facilitator_Rating_3([0, 1]) AND Overall_Rating_2(0) AND Participant_Rating_2([0, 1])",0.5739130434782609,0.9705882352941176
"Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_3(1) AND Schedule_Rating_3(1)","Participant_Rating_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Speaker_Rating_3([0, 1]) AND Facilitator_Rating_3([0, 1]) AND Overall_Rating_2(0) AND Participant_Rating_2([0, 1])",0.5739130434782609,0.9705882352941176
"Overall_Rating_3([0, 1]) AND Allowance_Rating_3([0, 1])","Objectives_Met_1([0, 1]) AND Facilitator_Rating_3(1) AND Venue_Rating_3([0, 1]) AND Overall_Rating_1(0) AND Participant_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1])",0.7652173913043478,0.7652173913043478
"Overall_Rating_1([0, 1]) AND Objectives_Met_3([0, 1]) AND Venue_Rating_1([0, 1])","Venue_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Facilitator_Rating_2(0) AND Overall_Rating_3([0, 1])",0.7652173913043478,0.7652173913043478
"Objectives_Met_3([0, 1]) AND Participant_Rating_3(1) AND Schedule_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Venue_Rating_3(1)",Participant_Rating_1(0),0.5304347826086957,1.0
"Participant_Rating_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_1([0, 1])","Overall_Rating_2([0, 1]) AND Facilitator_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1])",0.7652173913043478,0.7652173913043478
"Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1])","Speaker_Rating_3(1) AND Overall_Rating_2([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_2([0, 1])",0.7652173913043478,0.7652173913043478
"Objectives_Met_1([0, 1]) AND Venue_Rating_3([0, 1]) AND Schedule_Rating_3([0, 1]) AND Venue_Rating_1([0, 1])","Overall_Rating_2([0, 1]) AND Facilitator_Rating_2(0) AND Participant_Rating_2([0, 1])",0.7652173913043478,0.7652173913043478
"Objectives_Met_3([0, 1])","Speaker_Rating_3(1) AND Overall_Rating_1([0, 1]) AND Speaker_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3(1)",0.7652173913043478,0.7652173913043478
"Participant_Rating_2([0, 1]) AND Venue_Rating_1([0, 1])","Speaker_Rating_3(1) AND Objectives_Met_2([0, 1]) AND Venue_Rating_3(1) AND Participant_Rating_1([0, 1])",0.7652173913043478,0.7652173913043478
"Objectives_Met_1([0, 1]) AND Venue_Rating_3([0, 1])","Overall_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Facilitator_Rating_3(1) AND Speaker_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1])",0.7652173913043478,0.7652173913043478
"Objectives_Met_2([0, 1])","Venue_Rating_3(1) AND Venue_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1)",0.7652173913043478,0.7652173913043478
"Venue_Rating_1([0, 1]) AND Schedule_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1])","Facilitator_Rating_2(0) AND Schedule_Rating_2([0, 1])",0.7652173913043478,0.7652173913043478
"Participant_Rating_3([0, 1])","Speaker_Rating_2(0) AND Allowance_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3(1)",0.7652173913043478,0.7652173913043478
"Speaker_Rating_3(1) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_2(0) AND Participant_Rating_3(1) AND Allowance_Rating_2([0, 1]) AND Facilitator_Rating_3(1) AND Objectives_Met_3([0, 1])","Overall_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.5304347826086957,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_1(0) AND Allowance_Rating_3([0, 1])","Allowance_Rating_2([0, 1]) AND Schedule_Rating_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Facilitator_Rating_3(1) AND Participant_Rating_2([0, 1])",0.7565217391304347,0.7699115044247787
